Movie Title,Year,Score,Adjusted Score,Director,Cast,Consensus
Dirty Harry,1971,89,94710.0,Don Siegel,"Clint Eastwood, Harry Guardino, Reni Santoni, John Larch","As tough and taciturn as its no-nonsense hero,"
Edge of Tomorrow,2014,91,106228.0,Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton","Gripping, well-acted, funny, and clever,"
X2,2003,85,92511.0,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry","Tightly scripted, solidly acted, and impressively ambitious,"
The Fugitive,1993,96,103893.0,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best."
Black Panther,2018,96,124607.0,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",
Inception,2010,87,99417.0,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","Smart, innovative, and thrilling,"
Braveheart,1995,78,84237.0,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack","Distractingly violent and historically dodgy, Mel Gibson's"
Minority Report,2002,90,97933.0,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller."
Avengers: Endgame,2019,94,123352.0,Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Exciting, entertaining, and emotionally impactful,"
Dredd,2012,79,86418.0,Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris","Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor,"
The Bourne Identity,2002,83,89538.0,Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen","Expertly blending genre formula with bursts of unexpected wit,"
Ip Man,2008,86,85118.0,Wilson Yip,"Donnie Yen, Simon Yam, Siu-wong Fan, Ka Tung Lam","At once beholden to the established conventions of the genre and delightfully subversive of them,"
Face/Off,1997,92,97120.0,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence."
To Live and Die in L.A.,1985,85,88080.0,William Friedkin,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer","With coke fiends, car chases, and Wang Chung galore,"
The Dark Knight,2008,94,108483.0,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","Dark, complex, and unforgettable,"
